="",="(1)",=""
="",="",=""
="bripreg7==     0.0000",="0.756",="(0.430)"
="bripreg7==     1.0000",="0.244",="(0.430)"
="lmonthcat4==     0.0000",="0.154",="(0.361)"
="lmonthcat4==     1.0000",="0.138",="(0.345)"
="lmonthcat4==     2.0000",="0.200",="(0.400)"
="lmonthcat4==     3.0000",="0.128",="(0.334)"
="lmonthcat4==     4.0000",="0.0876",="(0.283)"
="lmonthcat4==     5.0000",="0.0647",="(0.246)"
="lmonthcat4==     6.0000",="0.0897",="(0.286)"
="lmonthcat4==     7.0000",="0.138",="(0.345)"
="redu==Junior high school",="0.0183",="(0.134)"
="redu==High school",="0.441",="(0.497)"
="redu==Junior/two year colleges",="0.402",="(0.490)"
="redu==University and more",="0.139",="(0.346)"
="spedu==Junior high school",="0.0327",="(0.178)"
="spedu==High school",="0.329",="(0.470)"
="spedu==Junior/two year colleges",="0.155",="(0.362)"
="spedu==University and more",="0.360",="(0.480)"
="spedu==Unknown",="0.123",="(0.329)"
="marcohort==1985-1994",="0.368",="(0.482)"
="marcohort==1995-1999",="0.372",="(0.483)"
="marcohort==2000-2004",="0.237",="(0.425)"
="marcohort==2005-2009",="0.0227",="(0.149)"
="marcat==16-22",="0.195",="(0.396)"
="marcat==23-25",="0.346",="(0.476)"
="marcat==26-28",="0.291",="(0.454)"
="marcat==29-31",="0.130",="(0.336)"
="marcat==32-34",="0.0229",="(0.150)"
="marcat==> 35",="0.0145",="(0.119)"
="type15a==Standard",="0.225",="(0.418)"
="type15a==Non-standard",="0.165",="(0.371)"
="type15a==Self-employed",="0.0283",="(0.166)"
="type15a==Non-employed",="0.582",="(0.493)"
="jobssm15a==Upper non-manual",="0.101",="(0.301)"
="jobssm15a==Lower non-manual",="0.149",="(0.356)"
="jobssm15a==Upper manual",="0.0752",="(0.264)"
="jobssm15a==Lower manual",="0.0937",="(0.291)"
="jobssm15a==Non-employed",="0.582",="(0.493)"
="pld15a==     0.0000",="0.0673",="(0.251)"
="pld15a==     1.0000",="0.933",="(0.251)"
="div==     0.0000",="0.939",="(0.240)"
="div==     1.0000",="0.0614",="(0.240)"
="birthcat1==16-22",="0.128",="(0.334)"
="birthcat1==23-25",="0.219",="(0.413)"
="birthcat1==26-28",="0.318",="(0.466)"
="birthcat1==29-31",="0.239",="(0.427)"
="birthcat1==32-34",="0.0705",="(0.256)"
="birthcat1==> 35",="0.0263",="(0.160)"
