="Determinants of second childbirth (left: adjusted right: observed)"
="",="(1)",="",="(2)",=""
="",="bev2",="",="bev2",=""
="bev2",="",="",="",=""
="Month at risk (ref: 1-6)",="0.000",="(.)",="0.000",="(.)"
="7-12",="1.384***",="(0.382)",="1.545***",="(0.244)"
="13-24",="1.590***",="(0.364)",="1.958***",="(0.232)"
="25-36",="1.473***",="(0.385)",="1.771***",="(0.243)"
="37-48",="1.428***",="(0.414)",="1.579***",="(0.261)"
="49-60",="0.305",="(0.607)",="1.135***",="(0.302)"
="61-84",="0.532",="(0.511)",="0.758*",="(0.306)"
="> 85",="-1.827#",="(1.062)",="-1.002*",="(0.468)"
="Premarital pregnancy",="0.829*",="(0.407)",="0.992**",="(0.317)"
="7-12 # Premarital pregnancy",="-0.544",="(0.472)",="-0.640#",="(0.368)"
="13-24 # Premarital pregnancy",="-0.752#",="(0.450)",="-1.058**",="(0.350)"
="25-36 # Premarital pregnancy",="-0.625",="(0.481)",="-0.936*",="(0.375)"
="37-48 # Premarital pregnancy",="-1.069#",="(0.550)",="-1.261**",="(0.439)"
="49-60 # Premarital pregnancy",="-0.164",="(0.740)",="-0.972#",="(0.507)"
="61-84 # Premarital pregnancy",="-0.713",="(0.665)",="-1.023#",="(0.523)"
="> 85 # Premarital pregnancy",="1.513",="(1.136)",="0.501",="(0.616)"
="Educational attainment (ref: high school)",="0.000",="(.)",="0.000",="(.)"
="Junior high school",="-0.465",="(0.472)",="-0.231",="(0.366)"
="Junior/two year colleges",="-0.137",="(0.130)",="0.033",="(0.093)"
="University and more",="-0.005",="(0.264)",="0.009",="(0.139)"
="Spouse's Educational attainment (ref: high school)",="0.000",="(.)",="0.000",="(.)"
="Junior high school",="0.038",="(0.249)",="-0.232",="(0.230)"
="Junior/two year colleges",="-0.139",="(0.169)",="-0.170",="(0.120)"
="University and more",="-0.050",="(0.162)",="-0.099",="(0.102)"
="Unknown",="-0.708**",="(0.224)",="-0.769***",="(0.193)"
="Year at marriage",="0.000",="(.)",="0.000",="(.)"
="1985-1994",="0.485**",="(0.170)",="0.121",="(0.118)"
="1995-1999",="0.290#",="(0.155)",="0.036",="(0.106)"
="2005-2009",="0.252",="(0.337)",="0.184",="(0.257)"
="Age at first marriage (ref: 29-31)",="0.000",="(.)",="0.000",="(.)"
="16-22",="-0.060",="(0.329)",="-0.293",="(0.223)"
="23-25",="0.044",="(0.289)",="-0.321#",="(0.177)"
="26-28",="-0.005",="(0.249)",="-0.103",="(0.150)"
="32-34",="0.112",="(0.535)",="0.054",="(0.311)"
="> 35",="0.618",="(0.944)",="-0.178",="(0.608)"
="Employment status 18 months ago (ref: Standard)",="0.000",="(.)",="0.000",="(.)"
="Non-standard",="-0.167",="(0.200)",="-0.114",="(0.153)"
="Self-employed",="-0.190",="(0.427)",="0.151",="(0.250)"
="Non-employed",="-0.089",="(0.218)",="-0.165",="(0.138)"
="Occupation  18 months ago (ref: Upper non-manual)",="0.000",="(.)",="0.000",="(.)"
="Lower non-manual",="-0.168",="(0.254)",="-0.156",="(0.169)"
="Upper manual",="-0.127",="(0.276)",="-0.378#",="(0.216)"
="Lower manual",="-0.236",="(0.270)",="-0.325",="(0.199)"
="Leaving parental home",="0.353",="(0.222)",="0.349#",="(0.184)"
="Divorced",="-0.781",="(0.498)",="-0.614",="(0.397)"
="Age at first birth (ref: 29-31)",="0.000",="(.)",="0.000",="(.)"
="16-22",="-0.044",="(0.308)",="0.496*",="(0.225)"
="23-25",="0.126",="(0.258)",="0.514**",="(0.159)"
="26-28",="-0.162",="(0.222)",="0.171",="(0.121)"
="32-34",="-0.242",="(0.385)",="-0.235",="(0.193)"
="> 35",="-2.499#",="(1.276)",="-0.874#",="(0.465)"
="Constant",="-5.262***",="(0.476)",="-5.383***",="(0.340)"
="Observations",="16572",="",="36070",=""
="chi2",="182.059",="",="378.485",=""
="df_m",="43.000",="",="43.000",=""
="ll",="-1555.266",="",="-3251.642",=""
="aic",="3198.532",="",="6591.284",=""
="r2_p",="0.055",="",="0.055",=""
="Standard errors in parentheses"
="# p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
