="Determinants of second childbirth (left: adjusted right: observed)"
="",="(1)",="",="(2)",="",="(3)",="",="(4)",="",="(5)",="",="(6)",="",="(7)",="",="(8)",=""
="",="bev2",="",="bev2",="",="bev2",="",="bev2",="",="bev2",="",="bev2",="",="bev2",="",="bev2",=""
="bev2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Month at risk (ref: 1-6)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="7-12",="1.049***",="(0.224)",="1.050***",="(0.224)",="1.041***",="(0.224)",="1.042***",="(0.224)",="1.390***",="(0.382)",="1.392***",="(0.382)",="1.382***",="(0.382)",="1.384***",="(0.382)"
="13-24",="1.135***",="(0.213)",="1.138***",="(0.213)",="1.135***",="(0.213)",="1.138***",="(0.213)",="1.589***",="(0.364)",="1.591***",="(0.364)",="1.587***",="(0.364)",="1.590***",="(0.364)"
="25-36",="1.073***",="(0.229)",="1.079***",="(0.229)",="1.078***",="(0.229)",="1.085***",="(0.229)",="1.464***",="(0.385)",="1.469***",="(0.385)",="1.468***",="(0.385)",="1.473***",="(0.385)"
="37-48",="0.789**",="(0.263)",="0.809**",="(0.263)",="0.808**",="(0.263)",="0.829**",="(0.263)",="1.381***",="(0.414)",="1.402***",="(0.414)",="1.406***",="(0.414)",="1.428***",="(0.414)"
="49-60",="0.137",="(0.348)",="0.168",="(0.349)",="0.161",="(0.349)",="0.193",="(0.349)",="0.243",="(0.606)",="0.277",="(0.607)",="0.272",="(0.607)",="0.305",="(0.607)"
="61-84",="0.035",="(0.324)",="0.078",="(0.325)",="0.045",="(0.324)",="0.088",="(0.325)",="0.480",="(0.510)",="0.540",="(0.511)",="0.476",="(0.510)",="0.532",="(0.511)"
="> 85",="-0.760*",="(0.363)",="-0.617†",="(0.371)",="-0.753*",="(0.365)",="-0.610",="(0.373)",="-1.928†",="(1.061)",="-1.801†",="(1.063)",="-1.944†",="(1.061)",="-1.827†",="(1.062)"
="Premarital pregnancy",="0.278*",="(0.114)",="0.278*",="(0.114)",="0.242†",="(0.127)",="0.247†",="(0.128)",="0.859*",="(0.404)",="0.859*",="(0.404)",="0.824*",="(0.407)",="0.829*",="(0.407)"
="Educational attainment (ref: high school)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="Junior high school",="-0.526",="(0.466)",="-0.545",="(0.467)",="-0.553",="(0.470)",="-0.564",="(0.471)",="-0.454",="(0.467)",="-0.466",="(0.468)",="-0.465",="(0.471)",="-0.465",="(0.472)"
="Junior/two year colleges",="-0.105",="(0.129)",="-0.111",="(0.129)",="-0.125",="(0.130)",="-0.132",="(0.130)",="-0.107",="(0.129)",="-0.115",="(0.129)",="-0.128",="(0.130)",="-0.137",="(0.130)"
="University and more",="-0.060",="(0.259)",="-0.056",="(0.259)",="-0.010",="(0.264)",="-0.009",="(0.264)",="-0.058",="(0.259)",="-0.054",="(0.259)",="-0.006",="(0.264)",="-0.005",="(0.264)"
="Spouse's Educational attainment (ref: high school)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="Junior high school",="0.015",="(0.244)",="0.016",="(0.244)",="0.043",="(0.249)",="0.046",="(0.249)",="-0.001",="(0.245)",="-0.001",="(0.245)",="0.033",="(0.249)",="0.038",="(0.249)"
="Junior/two year colleges",="-0.162",="(0.168)",="-0.161",="(0.168)",="-0.147",="(0.168)",="-0.147",="(0.168)",="-0.151",="(0.168)",="-0.152",="(0.168)",="-0.137",="(0.168)",="-0.139",="(0.169)"
="University and more",="-0.045",="(0.160)",="-0.049",="(0.160)",="-0.066",="(0.161)",="-0.072",="(0.161)",="-0.025",="(0.160)",="-0.028",="(0.160)",="-0.045",="(0.161)",="-0.050",="(0.162)"
="Unknown",="-0.837***",="(0.214)",="-0.704**",="(0.224)",="-0.865***",="(0.215)",="-0.729**",="(0.225)",="-0.813***",="(0.214)",="-0.681**",="(0.223)",="-0.847***",="(0.215)",="-0.708**",="(0.224)"
="Year at marriage",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="1985-1994",="0.514**",="(0.170)",="0.510**",="(0.169)",="0.506**",="(0.170)",="0.501**",="(0.170)",="0.501**",="(0.170)",="0.497**",="(0.169)",="0.490**",="(0.171)",="0.485**",="(0.170)"
="1995-1999",="0.299†",="(0.155)",="0.291†",="(0.155)",="0.312*",="(0.155)",="0.303†",="(0.155)",="0.286†",="(0.155)",="0.277†",="(0.155)",="0.299†",="(0.155)",="0.290†",="(0.155)"
="2005-2009",="0.311",="(0.328)",="0.320",="(0.328)",="0.229",="(0.336)",="0.236",="(0.336)",="0.329",="(0.329)",="0.339",="(0.329)",="0.245",="(0.337)",="0.252",="(0.337)"
="Age at first marriage (ref: 29-31)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="16-22",="-0.021",="(0.228)",="-0.004",="(0.227)",="-0.142",="(0.330)",="-0.108",="(0.329)",="-0.002",="(0.228)",="0.018",="(0.228)",="-0.108",="(0.329)",="-0.060",="(0.329)"
="23-25",="0.105",="(0.207)",="0.129",="(0.207)",="-0.001",="(0.289)",="0.041",="(0.290)",="0.110",="(0.207)",="0.137",="(0.207)",="-0.006",="(0.288)",="0.044",="(0.289)"
="26-28",="-0.065",="(0.212)",="-0.051",="(0.212)",="-0.040",="(0.249)",="-0.012",="(0.250)",="-0.054",="(0.212)",="-0.038",="(0.213)",="-0.038",="(0.248)",="-0.005",="(0.249)"
="32-34",="-0.207",="(0.476)",="-0.192",="(0.476)",="0.054",="(0.535)",="0.068",="(0.535)",="-0.194",="(0.476)",="-0.174",="(0.476)",="0.092",="(0.534)",="0.112",="(0.535)"
="> 35",="-1.085",="(0.737)",="-1.078",="(0.738)",="0.632",="(0.951)",="0.650",="(0.952)",="-1.084",="(0.737)",="-1.074",="(0.738)",="0.592",="(0.943)",="0.618",="(0.944)"
="Employment status 18 months ago (ref: Standard)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="Non-standard",="-0.102",="(0.196)",="-0.101",="(0.196)",="-0.127",="(0.199)",="-0.127",="(0.199)",="-0.140",="(0.197)",="-0.134",="(0.197)",="-0.170",="(0.200)",="-0.167",="(0.200)"
="Self-employed",="-0.099",="(0.421)",="-0.133",="(0.421)",="-0.033",="(0.426)",="-0.068",="(0.426)",="-0.198",="(0.421)",="-0.244",="(0.422)",="-0.142",="(0.426)",="-0.190",="(0.427)"
="Non-employed",="-0.103",="(0.217)",="-0.107",="(0.217)",="-0.085",="(0.218)",="-0.089",="(0.218)",="-0.105",="(0.217)",="-0.107",="(0.218)",="-0.089",="(0.218)",="-0.089",="(0.218)"
="Occupation  18 months ago (ref: Upper non-manual)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)",="0.000",="(.)"
="Lower non-manual",="-0.169",="(0.252)",="-0.158",="(0.252)",="-0.188",="(0.253)",="-0.175",="(0.253)",="-0.161",="(0.253)",="-0.149",="(0.253)",="-0.182",="(0.254)",="-0.168",="(0.254)"
="Upper manual",="-0.149",="(0.274)",="-0.146",="(0.274)",="-0.153",="(0.274)",="-0.152",="(0.275)",="-0.134",="(0.275)",="-0.124",="(0.276)",="-0.137",="(0.276)",="-0.127",="(0.276)"
="Lower manual",="-0.255",="(0.267)",="-0.263",="(0.267)",="-0.274",="(0.267)",="-0.283",="(0.268)",="-0.209",="(0.269)",="-0.217",="(0.269)",="-0.229",="(0.269)",="-0.236",="(0.270)"
="Leaving parental home",="0.319",="(0.219)",="0.313",="(0.219)",="0.371†",="(0.222)",="0.365",="(0.222)",="0.310",="(0.219)",="0.303",="(0.219)",="0.361",="(0.222)",="0.353",="(0.222)"
="Divorced",="",="",="-0.720",="(0.498)",="",="",="-0.730",="(0.499)",="",="",="-0.755",="(0.496)",="",="",="-0.781",="(0.498)"
="Age at first birth (ref: 29-31)",="",="",="",="",="0.000",="(.)",="0.000",="(.)",="",="",="",="",="0.000",="(.)",="0.000",="(.)"
="16-22",="",="",="",="",="0.023",="(0.307)",="0.004",="(0.306)",="",="",="",="",="-0.008",="(0.308)",="-0.044",="(0.308)"
="23-25",="",="",="",="",="0.144",="(0.258)",="0.124",="(0.258)",="",="",="",="",="0.151",="(0.258)",="0.126",="(0.258)"
="26-28",="",="",="",="",="-0.139",="(0.223)",="-0.160",="(0.223)",="",="",="",="",="-0.134",="(0.222)",="-0.162",="(0.222)"
="32-34",="",="",="",="",="-0.225",="(0.385)",="-0.219",="(0.385)",="",="",="",="",="-0.248",="(0.384)",="-0.242",="(0.385)"
="> 35",="",="",="",="",="-2.505†",="(1.286)",="-2.516†",="(1.287)",="",="",="",="",="-2.482†",="(1.274)",="-2.499†",="(1.276)"
="7-12 # Premarital pregnancy",="",="",="",="",="",="",="",="",="-0.543",="(0.472)",="-0.543",="(0.472)",="-0.543",="(0.472)",="-0.544",="(0.472)"
="13-24 # Premarital pregnancy",="",="",="",="",="",="",="",="",="-0.756†",="(0.450)",="-0.754†",="(0.450)",="-0.754†",="(0.450)",="-0.752†",="(0.450)"
