="",="(1)",=""
="",="bev2",=""
="1._at # Premarital pregnancy=0",="0.00623",="(2.99)"
="1._at # Premarital pregnancy=1",="0.0141",="(4.46)"
="2._at # Premarital pregnancy=0",="0.0243",="(5.52)"
="2._at # Premarital pregnancy=1",="0.0320",="(6.22)"
="3._at # Premarital pregnancy=0",="0.0297",="(7.18)"
="3._at # Premarital pregnancy=1",="0.0320",="(7.21)"
="4._at # Premarital pregnancy=0",="0.0265",="(5.44)"
="4._at # Premarital pregnancy=1",="0.0323",="(5.64)"
="5._at # Premarital pregnancy=0",="0.0254",="(4.23)"
="5._at # Premarital pregnancy=1",="0.0201",="(3.59)"
="6._at # Premarital pregnancy=0",="0.00843",="(2.00)"
="6._at # Premarital pregnancy=1",="0.0162",="(2.82)"
="7._at # Premarital pregnancy=0",="0.0106",="(2.63)"
="7._at # Premarital pregnancy=1",="0.0118",="(2.79)"
="8._at # Premarital pregnancy=0",="0.00101",="(0.99)"
="8._at # Premarital pregnancy=1",="0.0104",="(2.91)"
="Observations",="16572",=""
="R-squared",="",=""
="t statistics in parentheses"
